id,name,numericId,value,timestamp,quantity
1,Simulation Examples.Functions._System._DeviceId,0,4,05:05.3,192
2,Simulation Examples._Statistics._TxBytes,0,0,05:05.3,192
3,opc_ua_test._Statistics._SuccessfulReads,0,0,05:05.3,192
4,Simulation Examples._System._EnableDiagnostics,0,1,05:05.3,192
5,Simulation Examples._System._FloatHandlingType,0,Replaced with zero,05:05.3,192
6,Simulation Examples.Functions._System._DeviceId,0,4,05:05.9,192
7,Simulation Examples._Statistics._TxBytes,0,0,05:05.9,192
8,opc_ua_test._Statistics._SuccessfulReads,0,0,05:05.9,192
9,Simulation Examples._System._EnableDiagnostics,0,1,05:05.9,192
10,Simulation Examples._System._FloatHandlingType,0,Replaced with zero,05:05.9,192
11,Simulation Examples.Functions._System._DeviceId,0,4,05:06.4,192
12,Simulation Examples._Statistics._TxBytes,0,0,05:06.4,192
13,opc_ua_test._Statistics._SuccessfulReads,0,0,05:06.4,192
14,Simulation Examples._System._EnableDiagnostics,0,1,05:06.4,192
15,Simulation Examples._System._FloatHandlingType,0,Replaced with zero,05:06.4,192
16,Simulation Examples.Functions._System._DeviceId,0,4,05:06.9,192
17,Simulation Examples._Statistics._TxBytes,0,0,05:06.9,192
18,opc_ua_test._Statistics._SuccessfulReads,0,0,05:06.9,192
19,Simulation Examples._System._EnableDiagnostics,0,1,05:06.9,192
20,Simulation Examples._System._FloatHandlingType,0,Replaced with zero,05:06.9,192
21,Simulation Examples.Functions._System._DeviceId,0,4,05:07.4,192
22,Simulation Examples._Statistics._TxBytes,0,0,05:07.4,192
23,opc_ua_test._Statistics._SuccessfulReads,0,0,05:07.4,192
24,Simulation Examples._System._EnableDiagnostics,0,1,05:07.4,192
25,Simulation Examples._System._FloatHandlingType,0,Replaced with zero,05:07.4,192
26,Simulation Examples.Functions._System._DeviceId,0,4,05:07.9,192
27,Simulation Examples._Statistics._TxBytes,0,0,05:07.9,192
28,opc_ua_test._Statistics._SuccessfulReads,0,0,05:07.9,192
29,Simulation Examples._System._EnableDiagnostics,0,1,05:07.9,192
30,Simulation Examples._System._FloatHandlingType,0,Replaced with zero,05:07.9,192
31,Simulation Examples.Functions._System._DeviceId,0,4,05:08.4,192
32,Simulation Examples._Statistics._TxBytes,0,0,05:08.4,192
33,opc_ua_test._Statistics._SuccessfulReads,0,0,05:08.4,192
34,Simulation Examples._System._EnableDiagnostics,0,1,05:08.4,192
35,Simulation Examples._System._FloatHandlingType,0,Replaced with zero,05:08.4,192
36,Simulation Examples.Functions._System._DeviceId,0,4,05:08.9,192
37,Simulation Examples._Statistics._TxBytes,0,0,05:08.9,192
38,opc_ua_test._Statistics._SuccessfulReads,0,0,05:08.9,192
39,Simulation Examples._System._EnableDiagnostics,0,1,05:08.9,192
40,Simulation Examples._System._FloatHandlingType,0,Replaced with zero,05:08.9,192
41,Simulation Examples.Functions._System._DeviceId,0,4,05:09.4,192
42,Simulation Examples._Statistics._TxBytes,0,0,05:09.4,192
43,opc_ua_test._Statistics._SuccessfulReads,0,0,05:09.4,192
44,Simulation Examples._System._EnableDiagnostics,0,1,05:09.4,192
45,Simulation Examples._System._FloatHandlingType,0,Replaced with zero,05:09.4,192
46,Simulation Examples.Functions._System._DeviceId,0,4,05:09.9,192
47,Simulation Examples._Statistics._TxBytes,0,0,05:09.9,192
48,opc_ua_test._Statistics._SuccessfulReads,0,0,05:09.9,192
49,Simulation Examples._System._EnableDiagnostics,0,1,05:09.9,192
50,Simulation Examples._System._FloatHandlingType,0,Replaced with zero,05:09.9,192
51,Simulation Examples.Functions._System._DeviceId,0,4,05:10.4,192
52,Simulation Examples._Statistics._TxBytes,0,0,05:10.4,192
53,opc_ua_test._Statistics._SuccessfulReads,0,0,05:10.4,192
54,Simulation Examples._System._EnableDiagnostics,0,1,05:10.4,192
55,Simulation Examples._System._FloatHandlingType,0,Replaced with zero,05:10.4,192
56,Simulation Examples.Functions._System._DeviceId,0,4,05:10.9,192
57,Simulation Examples._Statistics._TxBytes,0,0,05:10.9,192
58,opc_ua_test._Statistics._SuccessfulReads,0,0,05:10.9,192
59,Simulation Examples._System._EnableDiagnostics,0,1,05:10.9,192
60,Simulation Examples._System._FloatHandlingType,0,Replaced with zero,05:10.9,192
61,Simulation Examples.Functions._System._DeviceId,0,4,05:11.4,192
62,Simulation Examples._Statistics._TxBytes,0,0,05:11.4,192
63,opc_ua_test._Statistics._SuccessfulReads,0,0,05:11.4,192
64,Simulation Examples._System._EnableDiagnostics,0,1,05:11.4,192
65,Simulation Examples._System._FloatHandlingType,0,Replaced with zero,05:11.4,192
66,Simulation Examples.Functions._System._DeviceId,0,4,05:11.9,192
67,Simulation Examples._Statistics._TxBytes,0,0,05:11.9,192
68,opc_ua_test._Statistics._SuccessfulReads,0,0,05:11.9,192
69,Simulation Examples._System._EnableDiagnostics,0,1,05:11.9,192
70,Simulation Examples._System._FloatHandlingType,0,Replaced with zero,05:11.9,192
71,Simulation Examples.Functions._System._DeviceId,0,4,05:12.4,192
